Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
1,36,1.0,0.0,3,1,1,1,1,1,0,41326,0,2,3,6,1,2,68,72,0
2,3,2.0,2.0,2,2,1,2,1,1,50,41326,0,4,3,6,8,3,74,9,0
2,2,3.0,1.0,1,2,2,2,1,2,0,41326,4,5,2,6,5,4,93,110,0
2,2,1.0,1.0,2,2,1,2,1,1,50,41326,0,5,1,6,7,3,62,74,0
2,4,2.0,2.0,2,2,1,1,1,1,50,41401,0,10,3,6,5,3,78,74,1
1,4,2.0,2.0,1,1,1,2,1,1,0,41330,0,3,3,6,5,3,51,81,4
1,1,1.0,2.0,2,1,1,2,1,1,0,41326,0,2,1,5,1,3,51,51,0
2,2,2.0,1.0,2,2,2,2,1,1,100,41326,0,2,4,5,1,3,78,74,0
1,2,3.0,2.0,2,2,1,2,1,5,0,41401,0,6,4,6,1,3,51,51,1
1,4,2.0,2.0,1,2,1,2,1,1,0,41326,0,5,1,6,5,3,83,41,0
2,0,1.0,2.0,2,1,1,1,1,1,10,41336,0,0,4,6,7,3,121,4,3
2,5,3.0,1.0,1,1,1,2,1,4,0,41326,0,4,1,1,7,3,74,110,0
2,2,2.0,2.0,1,2,2,2,1,1,0,41326,0,5,2,5,7,3,74,110,0
2,120,2.0,3.0,3,3,3,3,1,2,50,41401,0,1,4,6,5,3,45,110,1
2,12,1.0,2.0,1,3,3,3,1,1,0,41326,0,1,2,1,7,3,110,74,0
1,3,2.0,0.0,2,1,1,2,1,1,0,41326,0,19,1,6,4,2,51,85,0
2,12,1.0,2.0,2,1,2,2,1,2,0,41401,0,1,0,6,5,1,74,74,1
2,2,3.0,1.0,2,2,2,2,1,3,0,41326,0,3,3,6,5,3,9,110,0
1,2,2.0,2.0,1,2,2,2,1,1,0,41326,0,5,2,6,5,2,83,51,0
2,12,2.0,2.0,2,2,2,1,1,2,0,41401,0,1,4,6,5,1,110,74,1
1,1,3.0,0.0,1,2,2,2,1,6,0,41326,0,4,4,6,4,2,51,51,0
1,1,1.0,2.0,2,2,2,3,1,1,0,41326,0,5,3,5,1,3,51,51,0
2,9,1.0,3.0,3,1,1,1,1,1,0,41326,0,3,0,6,7,3,9,74,0
1,24,1.0,2.0,3,1,1,1,1,2,200,41401,0,1,4,6,5,3,83,11,1
2,60,2.0,3.0,3,1,1,1,1,1,0,41361,0,2,4,5,1,7,9,45,5
2,3,3.0,2.0,2,2,1,2,1,2,100,41326,0,2,3,6,5,4,47,32,0
2,30,2.0,2.0,1,1,1,1,1,1,10,41401,0,4,2,5,4,2,117,110,1
2,3,2.0,2.0,1,2,2,2,1,1,50,41326,0,2,4,6,4,7,119,109,0
1,1,3.0,3.0,2,2,2,2,1,3,0,41326,0,3,2,6,5,3,51,77,0
2,2,3.0,1.0,1,1,1,2,1,2,0,41326,0,5,1,5,4,1,55,55,0
2,6,2.0,1.0,2,2,2,2,1,1,0,41401,0,3,1,6,5,8,9,93,1
1,1,1.0,0.0,2,1,1,2,1,1,0,41326,0,1,1,6,5,2,51,51,0
1,2,2.0,2.0,2,2,2,2,1,1,0,41326,0,4,4,6,8,3,66,66,0
1,2,3.0,1.0,1,3,3,3,2,7,0,41401,0,12,4,6,5,3,51,51,1
2,48,1.0,3.0,1,1,1,1,1,2,0,41401,0,1,4,6,5,3,110,110,1
2,12,2.0,2.0,1,2,2,2,1,1,0,41326,0,1,2,6,5,8,93,70,0
1,22,1.0,2.0,1,1,1,2,1,1,0,41326,0,4,2,6,7,3,25,106,0
1,2,2.0,2.0,1,2,2,2,1,1,0,41326,0,1,2,6,5,1,51,68,0
1,36,1.0,1.0,1,3,3,3,1,1,0,41401,0,5,1,6,1,7,46,51,1
1,96,1.0,2.0,1,1,1,1,1,1,0,41401,0,2,3,5,4,8,54,77,1
1,5,2.0,2.0,1,1,1,2,1,1,0,41326,1,4,3,4,1,3,82,51,0
1,2,1.0,0.0,1,1,1,3,1,2,1,41326,0,2,2,5,1,2,51,51,0
1,31,2.0,2.0,2,1,1,1,1,1,0,41326,0,2,4,6,5,1,106,83,0
2,0,1.0,2.0,1,2,2,2,1,1,0,41401,0,10,1,6,7,3,110,55,1
1,24,3.0,2.0,2,1,1,1,1,4,0,41401,0,4,4,6,5,1,66,66,1
1,4,1.0,2.0,2,1,1,2,1,1,0,41326,0,2,2,6,5,3,51,51,0
2,15,2.0,1.0,1,1,1,1,1,1,0,41326,0,1,4,6,5,3,66,66,0
2,24,3.0,2.0,2,2,2,3,1,20,100,41326,0,1,4,6,1,3,103,69,0
2,48,2.0,1.0,1,1,1,1,1,2,30,41326,0,6,4,5,7,3,66,66,0
1,2,3.0,2.0,1,2,2,2,1,5,0,41326,0,5,2,6,5,4,51,51,0
2,3,2.0,1.0,1,2,2,2,1,1,0,41401,0,2,3,6,8,3,93,110,1
2,1,1.0,2.0,1,2,1,2,1,1,0,41326,1,6,2,6,7,3,62,55,0
2,2,2.0,2.0,2,2,1,2,1,1,15,41401,0,3,1,5,8,7,110,117,1
2,2,2.0,2.0,3,2,2,2,1,1,0,41401,0,1,3,6,7,3,13,45,1
2,6,3.0,2.0,1,1,1,3,1,3,150,41401,0,4,4,6,5,1,78,110,1
2,1,2.0,2.0,1,3,3,2,1,3,0,41401,0,3,1,6,7,3,119,69,1
2,2,3.0,3.0,2,2,1,3,1,5,30,41326,0,5,3,1,7,3,74,110,0
